titles, urls,content
Purchasing Gunbot, https://gunthy.org/resellers,You need to enable JavaScript to run this app.
Charts & results, https://wiki.gunthy.org/how-to-work-with-gunbot/chart-results,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Learning the basics Trading settings Charts & results Trading strategy options Extra modules Various Troubleshooting Config marketplace How to work with Gunbot Charts & results On this page Chart & results Monitoring and evaluating your trades is an important aspect of bot trading. Gunbot makes it easy to visualize the trades it makes, this will help you to keep improving your trading strategies. Charts ​ The built in charts uses the same candle data as the bot core works with. Indicators are calculated using the TradingView library. Charts go as far back as the exchange API returns candles to your bot. Trades and relevant strategy targets are automatically drawn on the chart, like for example the avg. entry price of a position, the exit point or dca target. Some target lines are movable, you can use these to visually change the target of your strategy. After dragging a target you'll see that the ""save changes"" button appears, the new target applies after saving. The  Overview  and  Markets  sidebars let you quickly navigate between pairs, do manual trades or edit pair specific settings. Dashboard ​ Get a quick overview of your active trading pairs on the dashboard. Each exchange gets their own dashboard. If you have multiple exchanges running simultaneously there are also grouped dashboards for all spot and margin pairs. Profit and loss ​ Go to  PNL analysis  on the dashboard to get detailed statistics about all active trading pairs. Previous Trading settings Next About Gunbot strategies Charts Dashboard Profit and loss Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
Alerts, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/alerts,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Trading strategy options Extra modules AutoConfig Backtesting add-on Code editor Tradingview add-on IMAP listener Alerts Tradingview webhooks Various Troubleshooting Config marketplace Extra modules Alerts Alerts (beta) danger Alerts are in beta and not officially supported yet. If you want to try using alerts, make sure to keep the chart open at all times because for now there is no background service running the alerts. Example of creating an alert that would execute a buy order. Previous IMAP listener Next Tradingview webhooks Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
Backtesting add-on, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/backtesting,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Trading strategy options Extra modules AutoConfig Backtesting add-on Code editor Tradingview add-on IMAP listener Alerts Tradingview webhooks Various Troubleshooting Config marketplace Extra modules Backtesting add-on On this page Backtesting tip This is a paid add-on that works for Bitfinex, Binance, Bitmex, Bittrex, CEX, CoinBase Pro, Kraken and Poloniex. The Gunbot backtesting add-on is a simulation of Gunbot running inside a free or paid TradingView account. The indicator on TradingView is called Gunbot Deluxe Tuners BE (Black Edition). This add-on is included with Gunbot Pro Edition or Gunbot Ultimate Edition purchased AFTER release of Gunbot version 10. If you purchased one of these editions and did not receive this add-on please contact your reseller. You will need to provide your reseller with your TradingView profile name at time of purchase. Advantages ​ Save time and learn Gunbot quickly by visually seeing how Gunbot's settings and strategies work. Optimize your settings for Gunbot through simulated backtesting on TradingView without risking your capital. Trade on alerts sent from the same tuned and backtested strategies at TradingView with the TradingView add-on. For learning, backtesting, and optimizing Gunbot with the simulated strategies script you will need either a free or paid TradingView account. If you wish to trade directly from the included alerts script you will also need the TradingView add-on and a paid TradingView account. With the Gunbot TradingView add-on you can trade on alerts sent from custom strategies at Tradingview, completely managing your strategy at Tradingview. Gunbot receives trade signals by e-mail and trades accordingly. Disclaimer While every effort has been made to ensure these simulations of Gunbot contain the same logic as Gunbot, they will not always buy or sell at the exact same time or prices as Gunbot (because of TradingView's inability to use ticker prices). This is close as you can get in TradingView to the real thing. Backtesting the past does NOT guarantee profit in the present or future. Emotionless, Double Up, Reversal Trading, UTA, spotgrid (and similar) and tsa are not included due to limitations in TradingView. Getting started ​ Once you have purchased and provided your reseller with your TradingView profile name you will receive notification when your access has been granted and you may begin using in TradingView. Login to your TradingView account and click the Chart button. The scripts are best viewed in Dark theme. Enter the Pair and the Period you wish to use and then click Indicators. Do a search for ""Tuners"" and then click to load ""Gunbot Deluxe Tuners BE"" and ""Gunbot Tuners Companion"", you will only need these 2 for now. Later on you can return and load ""Gunbot Deluxe Tuners BE  [Alerts] "" if you wish to send trade signals to Gunbot. Now that you have the Tuner scripts loaded click the Strategy Tester to open it's pane. Drag the top of the Strategy Tester pane to where you can see Net Profit and Buy & Hold Return. Click the Gear icon to enter your Gunbot settings. Enter your Exchange's TRADING_FEES in the  [Properties]  Tab and then the  [Inputs]  Tab. Drag this window to where you can also see the Strategy Tester pane stats. Now you are ready to begin adjusting settings in the  [Inputs]  window while watching Net Profit (red is loss) to see how this affects your returns. Once you have settings that you are satisfied with, record them to be entered into the real Gunbot when you are ready to begin trading that pair. To see the ""console"" readings open the Data Window and hover mouse over a candle, this can be useful for troubleshooting and will also allow you to see the color coding of the plots (inactive are blue). The ""Gunbot Tuners Companion"" script is used for visually tuning the indicators which cannot be shown on the main chart window. It has it's own Gear icon where you will change it's settings. Once you have visually satisfactory settings, enter those same settings into the ""Gunbot Deluxe Tuners BE"" script settings to see how they perform. There are a few non-Gunbot variables that are also present in the scripts: ""BTC_PND Exchange = "" should be set to the Exchange of the pair you are testing if you are using BTC_PND_PROTECTION. PricesA / PricesB sets percentage range of candle prices that are read. You may also choose to use candle sources instead. Only this portion of the candle will register when crossing indicators or levels. There is a plot in gray on top of the candles that represents this area.   |   High= 100 |   | |   | PricesA = 0-100 |   | |   | PricesB = 0-100 |   |   |   Low = 0 Default range settings of 50 / 50 is equal to source settings of HL2 / HL2 for Prices. TradingView scripts trade on the OPEN price of the NEXT candle AFTER conditions have been met. The green ""LONG!"" or ""CLOSE SHORT!"" and red ""SHORT!"" or ""CLOSE LONG!"" indicate the candle where the decision to trade was made, the blue, red, and purple markers indicate where the trade was made. When using the ""Gunbot Deluxe Tuners BE  [Alerts] "" script the green ""LONG!"" or ""CLOSE SHORT!"" and red ""SHORT!"" or ""CLOSE LONG!"" indicate on screen where the alerts will trigger and send to Gunbot's TradingView add-on. FAQ ​ Why don't I see the fields for Double Up or Reversal Trading? ​ Because Double Up and Reversal Trading is not supported (as stated in Disclaimer above). Why can't I change the PERIOD from Auto? ​ Because you don't need to, the script reads the PERIOD from whatever you set in the chart. How do I link the Tuner to Gunbot? ​ Currently there is not a way to export settings directly from Pine scripts to Gunbot. So once you find the best settings you have to copy and paste them one at a time into your config in Gunbot (or open GUI / config.js beside TV script settings so you can see them to enter). What settings should I use in the Format: Properties Tab? ​ Do NOT change any of these settings EXCEPT for Commission. Why am I not seeing any trades? ​ Because the pair is likely bagged up to the left of your screen. Temporarily lower the STOP_LIMIT to a small value like 5 or scroll left to see. Other reasons may be that you have levels too conservative for that pair so no trade is ever made.  Temporarily lower BUY_LEVEL, LONG_LEVEL, and SHORT_LEVEL to 0.1 to see. Why did it not trade where I think it should? ​ Please refer to the Data Window while hovering over the candle in question to troubleshoot and answer. How far back can I test? ​ This depends on the PERIOD you have set, the lower the PERIOD, the less amount of time can be backtested. There is a 2000 order limit in Pine. Free TradingView accounts provide 5000 candles of history and paid accounts provide 10000. Which browser should I use? ​ Chrome, Edge, Safari browsers seems to work the best with TradingView, Internet Explorer and FireFox do not work as well with TradingView. Can I use Heikin Ashi or other types of candles? ​ No, the Tuner scripts only use regular style ""Candles"". Some of the other types will run and give results but they will not be accurate. Why has my Tuner stopped working? ​ If you encounter strange behavior first try zooming in or out, or refreshing the browser. If this does not solve then delete the indicator, refresh the browser page, and reload the indicator. That didn't fix it, now what? ​ If you continue to have issues: Format - >  Inputs - >  Defaults (lower left) - >  Reset Settings then remove the indicator, refresh browser, and reload it. Still not working or I have a different question, so now what? ​ Contact  @allanster  on Telegram. Previous AutoConfig Next Code editor Advantages Getting started FAQ Why don't I see the fields for Double Up or Reversal Trading? Why can't I change the PERIOD from Auto? How do I link the Tuner to Gunbot? What settings should I use in the Format: Properties Tab? Why am I not seeing any trades? Why did it not trade where I think it should? How far back can I test? Which browser should I use? Can I use Heikin Ashi or other types of candles? Why has my Tuner stopped working? That didn't fix it, now what? Still not working or I have a different question, so now what? Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
Code editor, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/code-editor,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Trading strategy options Extra modules AutoConfig Backtesting add-on Code editor Tradingview add-on IMAP listener Alerts Tradingview webhooks Various Troubleshooting Config marketplace Extra modules Code editor On this page Code editor Edit Gunbot config files, view internal data and work on custom strategies right in the Gunbot interface. Unless you prefer working with config files or JavaScript code, you will never need this editor. 
 If you do prefer config files, this editor allows you to configure everything you would normally do with an external text editor, and makes sure you don't save any invalid JSON to your configs. Supported files ​ Currently the following file types are supported: Type Description config.js Main config file. Read and write support. autoconfig.json Used to define AutoConfig jobs. Read and write support. Editor has templates for all job and filter types, as autocomplete suggestions. pair state files Internal data. Read only. custom strategies Custom JavaScript strategies, saved in the  /customStrategies  folder. Read and write support. Editor has autocomplete suggestions for all Gunbot specific methods and data. config backups Backups of  config.js  and  autoconfig.json . Read only. Each time a config changed is done though the GUI, a config backup of the previous state is saved. You can view every past revision. Code suggestions ​ The editor has autocomplete suggestions to assist in writing valid autoconfig jobs, and to have easy access to custom strategy methods and data point. Previous Backtesting add-on Next Tradingview add-on Supported files Code suggestions Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
IMAP listener, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/imap-listener,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Trading strategy options Extra modules AutoConfig Backtesting add-on Code editor Tradingview add-on IMAP listener Alerts Tradingview webhooks Various Troubleshooting Config marketplace Extra modules IMAP listener On this page IMAP listener tip The IMAP listener settings are only needed when you use the TradingView add-on to let Gunbot execute email alerts. Using these settings, Gunbot connects to the email address where alerts are sent to. To change them, go to  ⋮ > TradingView Alerts > Email listener Tips for Gmail users use an  app password   Settings descriptions ​ Below you'll find detailed descriptions of all available parameters for the IMAP listener. Enabled (IMAP listener) ​ Set this to true to enable the TradingView plugin. Not all license types support this option. Values:  true or false Default value:  false Parameter name in  config.js :  enabled Authorized froms ​ Sets the email addresses that should be processed for incoming alerts. Make sure that the alert message in contained in the email subject. Multiple address are possible if you enter them like this: ["" email-1@mail.com "","" email-2@mail.com "" ] Values:  string, represents one or more email addresses Default value:  ["" noreply@tradingview.com "" ] Parameter name in  config.js :  authorized_froms User ​ Set the username for the IMAP server, usually your own email address. Gunbot will listen for incoming alerts on this address. Values:  string, represents a username Default value:  YOUREMAIL Parameter name in  config.js :  user Password ​ Enter the password for your own email address, used for connecting to the IMAP server. Values:  string, represents a password Default value:  YOURPASSWORD Parameter name in  config.js :  password Host ​ The address of the IMAP server that the listener needs to connect to. Values:  string, represents a hostname Default value:  imap.gmail.com Parameter name in  config.js :  host Port (IMAP) ​ Defines the port number for the IMAP server. Values:  number, represents a port number Default value:  993 Parameter name in  config.js :  port TLS ​ Defines if TLS encryption is used for the IMAP connection. Values:  true or false Default value:  true Parameter name in  config.js :  tls rejectUnauthorized ​ Enable this to allow connections to IMAP servers using a certificate unknown to certificate authorities. Values:  true or false Default value:  false Parameter name in  config.js :  rejectUnauthorized  (child of  tlsOptions ) Previous Tradingview add-on Next Alerts Settings descriptions Enabled (IMAP listener) Authorized froms User Password Host Port (IMAP) TLS rejectUnauthorized Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
Tradingview add-on, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/tradingview-alerts,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Trading strategy options Extra modules AutoConfig Backtesting add-on Code editor Tradingview add-on IMAP listener Alerts Tradingview webhooks Various Troubleshooting Config marketplace Extra modules Tradingview add-on On this page TradingView Alerts With the Gunbot TradingView add-on you can execute trading alerts sent from custom strategies at Tradingview, completely managing your strategy at TradingView. Gunbot receives trade signals by e-mail and trades accordingly. This add-on can also be used for executing trades from arbitrary email alerts, TradingView is not strictly required. tip This is a paid add-on, availability depends on your license type. Initial setup ​ Before you start setting up your alerts, you need: The IMAP data for the email address you receive alerts from TradingView on. A Pro subscription at tradingview.com (works with trial too). Free accounts are limited to one alert. Alert message contents ​ The alerts have to be in the following format in order for Gunbot to act on them. Alerts follow the same standardized pair syntax that also apply for normal Gunbot usage, the alert text must be in the subject line of an email. Trading limits can only be specifically defined in buy/long alerts, for other alerts or alerts without specified amounts, the limits as set in your TradingView settings apply. It's recommended to enabled the ""email-to-SMS"" option on tradingview.com, which sends a plain text email instead of an html formatted message. Replace   EXCHANGE   with the name of your exchange. For spot exchanges ​ Alert message Action BUY_EXCHANGE_BTC-ETH Buy ETH using BTC BUY_EXCHANGE_BTC-ETH_0.1 Buy ETH using BTC with a trading limit of 0.1 BTC SELL_EXCHANGE_USDT-BTC Sell BTC for USDT Normal situation: full balance is sold When using TV_PYRAMID,  the amount is defined by TV_TRADING_LIMIT_SELL When using MULTIPLE BASE,  the amount is the same as the last buy order made by the bot on the same trading pair STOPLOSS_EXCHANGE_BTC-ETH Sell ETH for BTC if stoploss is triggered BUY_EXCHANGE_USDT-BTC_amount_rate Buy BTC using USDT for a specified amount in USDT at a specified rate. Requires TV market orders to be disabled BUY_EXCHANGE_BTC-ETH_0_rate Buy ETH using BTC for ""TV trading limit buy"", at a specified rate. Requires TV market orders to be disabled. For futures / margin exchanges ​ Alert message Action LONG_EXCHANGE_XBT-USD Long order for XBT-USD SHORT_EXCHANGE_XBT-USD_amount Short order for XBT-USD with a specified trading limit LONG_EXCHANGE_XBT-USD_amount Long order for XBT-USD with a specified trading limit LONG_EXCHANGE_XBT-USD_amount_rate Long order for XBT-USD with a specified trading limit and rate. Requires TV market orders to be disabled. SHORT_EXCHANGE_XBT-USD_0_rate Short order for XBT-USD without a specified trading limit and with a specified rate. Requires TV market orders to be disabled. CLOSE_EXCHANGE_USDT-LTC Close a margin position  (made for bitmex, not supported on every exchange) CLOSELONG_EXCHANGE_XBT-USD Close a long position  (made for bitmex, not supported on every exchange) CLOSESHORT_EXCHANGE_XBT-USD Close a short position  (made for bitmex, not supported on every exchange) tip Orders in the opposite direction of a position can be used to (partially) close positions Want to flip between long and short? Open one position manually, then send long and short alerts at 2x that position size to keep flipping from long to short or vice versa. Note about trading limits ​ On futures exchanges settings related to trading limits for margin trading should be specified in contracts. On binanceFutures amounts are specified in quote: on USDT-BTC a trading limit of 1 represents 1 BTC order value. On all other supported margin exchanges, every setting related to margin trading limits must be specified in amounts of quote currency. tip To test alerts on Bitmex Testnet, you should write the alerts like this: LONG_BITMEXTESTNET_XBT-USD Change strategy by alert ​ You can use alerts to change the strategy of any valid pair that's already in your config. This alert type can also be used to (indirectly) add pairs to Gunbot,  using an AutoConfig job . Alert message Action STRAT_BITMEX_XBT-USD_yourstratname Assigns strategy  yourstratname  to XBT-USD TradingView settings ​ To run Gunbot with the TradingView add-on, the following are the only relevant settings. Normal Gunbot strategy and pair settings are not relevant and not used unless  TV_GB  is enabled. Open the settings by going to  ⋮   >   TradingView Alerts  >  Alert execution Trading limits for buy orders are set in the configuration settings, optionally you can override these by specifying the trading limit in the alert message contents. Orders placed by the TradingView add-on are placed by default as market orders to ensure they will get filled. Optionally, you can let it send limit orders as well. tip Be sure to add one pair for any exchange you want to execute alerts on. This can be any pair, it will not be used by the add-on. Gain ​ Set a minimum gain in % that trades initiated by TradingView must comply to when  TV_PROTECTION  is enabled. When TradingView sell alerts are sent that would have a lower gain than this value, Gunbot will not place the order. Use this to prevent selling at loss. danger Only works for spot trading. Values:  numerical, represents a percentage. Default value:  0.6 Parameter name in  config.js :  TV_GAIN Market orders ​ By default, orders are sent as market orders. When you want to send limit orders instead, disable this option. Buy orders are then sent at a limit price of the best bid order in the order book, sell orders are placed at the rate of the best ask price. Values:  true or false Default value:  true Parameter name in  config.js :  TV_MARKET_ORDERS Trading Limit Buy ​ This value defines the trading limit for each buy order placed through the add-on. The default value of 0.002 would place orders of 0.002 BTC when used on a BTC-x pair. When not using  TV_PYRAMID , a sell alert will place a sell order for the full quote balance held. tip Bitmex : enter the desired number of contracts Other margin exchanges:  enter an amount in quote currency Values:  numerical – represents an amount in base currency. Default value:  0.002 Parameter name in  config.js :  TV_TRADING_LIMIT_BUY Trading Limit Buy Pyramid ​ This value defines the trading limit for each pyramid buy order placed through the add-on. The default value of 0.002 would place orders of 0.002 BTC when used on a BTC-x pair. tip Bitmex : enter the desired number of contracts Other margin exchanges:  enter an amount in quote currency Values:  numerical – represents an amount in base currency. Default value:  0.002 Parameter name in  config.js :  TV_TRADING_LIMIT_BUY_PYRAMID Pyramid ​ Setting this to true enables pyramid trading, the amount for each pyramid order is defined by  TV_TRADING_LIMIT_SELL  or  TV_TRADING_LIMIT_BUY_PYRAMID . Values:  true or false Default value:  false Parameter name in  config.js :  TV_PYRAMID Trading Limit Sell ​ This value defines the trading limit for sell orders when  TV_PYRAMID  is enabled. The default value of 0.002 would place orders of 0.002 BTC when used on a BTC-x pair. tip Bitmex : enter the desired number of contracts Other margin exchanges:  enter an amount in quote currency Values:  numerical – represents an amount in base currency. Default value:  0.002 Parameter name in  config.js :  TV_TRADING_LIMIT_SELL Protection ​ When set to true Gunbot will check if there is an overall profit before selling, as specified in  TV_GAIN . When set to false, Gunbot will execute all TradingView alerts without interfering with a custom strategy. tip Only works for spot trading. Values:  true or false Default value:  false Parameter name in  config.js :  TV_PROTECTION Close all ​ When enabled, an entire position will be closed upon receiving a close command - even if the position is bigger than the set trading limits. tip Only works for margin trading. Values:  numerical – represents an amount in base currency. Default value:  false Parameter name in  config.js :  TV_CLOSE_ALL Trading Limit Cap ​ The maximum amount of base currency to be invested in a pair. tip Only works for spot trading Values:  numerical – represents an amount in base currency. Default value:  0.0001 Parameter name in  config.js :  TV_TRADING_LIMIT_CAP Stoploss Percentage ​ Percentage below average bought price at which a sell signal should override  TV_PROTECTION  and sell in a stop-loss manner. Values:  numerical – represents a percentage. Default value:  60 Parameter name in  config.js :  TV_STOPLOSS_PERCENTAGE Trading Limit All-In ​ When set to true, each buy order will use all available base currency balance. Values:  true or false Default value:  false Parameter name in  config.js :  TV_TRADING_LIMIT_ALLIN Retry Order ​ Enable this when you have problems receiving multiple alerts. Gunbot will retry processing orders for 15 minutes. Values:  true or false Default value:  false Parameter name in  config.js :  RETRY_TV_ORDER TV MVTS ​ Sets a threshold for sell orders, If you own less than the set amount, sell orders will not be placed and the bot goes into buying mode again. Values:  numerical – represents the total value of a coins holdings in base currency. Default value:  0.001 Parameter name in  config.js :  TV_MVTS TV GB ​ Enable this to run Gunbot strategies simultaneously with the TradingView add-on. This way buying and selling with Gunbot strategies or TradingView alerts can be mixed. The IMAP listener needs to be enabled to use this option. Values:  true or false Default value:  false Parameter name in  config.js :  TV_GB TV Leverage ​ For margin trading only. Sets the leverage for opening any position. Setting 0 places the order with cross margin, if your exchange supports cross leverage. Only use values supported by your exchange. tip On some exchanges it may be needed to manually set leverage on the exchange itself. Always test if this works as expected. Values:  numerical – between 0 and 100 Default value:  0 Parameter name in  config.js :  TV_LEVERAGE TV Lending ​ Sets the maximum acceptable lending rate when opening a position. The default setting of 0.02 stands for 2% interest per day. tip Only works on Poloniex. Values:  numerical Default value:  0.02 Parameter name in  config.js :  TV_LENDING Previous Code editor Next IMAP listener Initial setup Alert message contents TradingView settings Gain Market orders Trading Limit Buy Trading Limit Buy Pyramid Pyramid Trading Limit Sell Protection Close all Trading Limit Cap Stoploss Percentage Trading Limit All-In Retry Order TV MVTS TV GB TV Leverage TV Lending Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
Tradingview webhooks, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/tradingview-webhooks,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings How to work with Gunbot Trading strategy options Extra modules AutoConfig Backtesting add-on Code editor Tradingview add-on IMAP listener Alerts Tradingview webhooks Various Troubleshooting Config marketplace Extra modules Tradingview webhooks On this page TradingView webhooks (experimental) In active development This feature is part of the TradingView add-on, availability depends on your license type. It is currently considered experimental and will reach a more complete status soon. Using webhooks, alerts from TradingView.com can be sent directly to a Gunbot instance. You need to be able to run Gunbot on a device that is publicly accessible on port 443. Initial setup ​ Before you start setting up your alerts, you need to: Make sure your system has LibreSSL installed, this will generate the needed certificate  Make sure your device is publicly accessible on port 443, the only port allowed by TradingView Enable webhooks support in Gunbot on the TradingView settings page and set a self chosen passphrase to use in alerts, to ensure it is you who sends the alerts that the bot will execute Like with TradingView alerts in email mode, make sure to add one valid pair to Gunbot for each exchange you'll receive alerts on. This pair will not get actively traded unless you send alerts for it.  Alert message contents ​ The alerts have to be in the following format in order for Gunbot to act on them:
 passphrase exchange order_type pair amount price Alerts follow the same standardized pair syntax that also apply for normal Gunbot usage, the alert text must be in the subject line of an email. Limit order alert examples ​ spot: 123456 binance buy USDT-BTC 0.1 42553.4 123456 binance sell USDT-BTC 0.1 42553.4 futures: 123456 binanceFutures long USDT-BTC 0.1 42553.4 123456 binanceFutures short USDT-BTC -0.1 42553.4 123456 binanceFutures close USDT-BTC 0.1 42553.4 123456 binanceFutures close USDT-BTC -0.1 42553.4 Market order alert examples ​ spot: 123456 binance buy USDT-BTC 0.1 0 123456 binance sell USDT-BTC 0.1 0 futures: 123456 binanceFutures long USDT-BTC 0.1 0 123456 binanceFutures short USDT-BTC -0.1 0 123456 binanceFutures close USDT-BTC 0.1 0 123456 binanceFutures close USDT-BTC -0.1 0 Change strategy alert ​ format: passphrase exchange strat pair name_of_strategy_here 0 example: 123456 okgunbot strat ETH-AVAX superCoolDCA 0 Other settings ​ Currently a small subset of the settings available for email alerts are available for use with webhooks: TV_GB TV_PROTECTION Installing LibreSSL on Windows ​ If you get certificate related errors when enabling the webhook listener on a windows server, the following steps should resolve it. open powershell and install chocolatey by pasting this line and press enter open cmd terminal and paste this line:  choco install -confirm libressl In case errors persist, manually install LibreSSL using this method: download .dll from here  https://sourceforge.net/projects/libressl-3-2-0-for-windows/files/LibreSSL-3.3.3_MinGW_Windows7%28static%29.zip/download extract the folder in c:/libressl Previous Alerts Next Acronyms Initial setup Alert message contents Limit order alert examples Market order alert examples Change strategy alert Other settings Installing LibreSSL on Windows Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
2FA, https://wiki.gunthy.org/setup-and-general-settings/global-settings/2FA,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings Installation & startup Global settings Connect license Connect exchange Various settings Telegram notifications 2FA Tournament Import settings Export settings Edit license Simulator How to work with Gunbot Trading strategy options Extra modules Various Troubleshooting Config marketplace Setup & general settings Global settings 2FA 2FA Besides password security, you can optionally use two factor authentication. if you've enabled 2FA, you'll be asked to enter a one time password (generated with an authenticator app) next to your password the next time you login to the Gunbot interface. Direct link http://localhost:5000/setup tip If you lose access to your 2FA code, this authentication can be disabled in  config.js . Change the value for  twoFA  to  false . Previous Telegram notifications Next Tournament Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
Connect exchange, https://wiki.gunthy.org/setup-and-general-settings/global-settings/connect-exchange,"
 
 Skip to main content Gunbot wiki Download on GitHub Introduction Quickstart guide ⏱️ About Setup & general settings Installation & startup Global settings Connect license Connect exchange Various settings Telegram notifications 2FA Tournament Import settings Export settings Edit license Simulator How to work with Gunbot Trading strategy options Extra modules Various Troubleshooting Config marketplace Setup & general settings Global settings Connect exchange On this page Connect exchange Before you start trading, you need to enter the exchange  API key  and secret, as well as the trading fees level for each exchange. Direct link http://localhost:5000/setup Settings in detail ​ API settings ​ Setting Description API key The API key registered to be used with Gunbot for a specific exchange. API secret API secret belonging to API key Delay Time in seconds between processing two pairs on the same exchange.    10 is generally a safe value, you can try lower delays if you see the bot running without errors for several hours. Trading fees Fee percentage per trade, use the appropriate value for your exchange and fees level. Passphrase  (needed for select exchanges) Some exchanges require a passphrase for each API key, it may be called slightly different on the exchange itself. Client ID  (needed for select exchanges) Some exchanges require a client ID in addition to API key and secret, it may be called slightly different on the exchange itself. Market  (needed for select exchanges) Some exchanges require specifying the market the bot will be used on: spot, swap or, delivery or futures.  For power users It is possible to use a master/slave API key, this allows you to use a different api key for trading than the registered (master) key.
You can enter the master/slave keys in  config.js  directly, or using the code editor in Gunbot. Market selection ​ Some exchanges require specifying a market type, you can only run pairs of that specific market type (futures, for example) in the same bot instance. Exchange Market options binanceFutures / Gunthy Futures futures:  USDT margined pairs  delivery:  coin margined pairs OKX / okGunbot spot:  spot trading  futures:  futures pairs  swap:  perpetual futures pairs  Previous Connect license Next Various settings Settings in detail API settings Market selection Community translated docs Portugese wiki Russian wiki © Copyright Gunthy 2023. Built with Docusaurus. 
 
"
