titles, urls
Purchasing Gunbot, https://gunthy.org/resellers
Charts & results, https://wiki.gunthy.org/how-to-work-with-gunbot/chart-results
Alerts, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/alerts
Backtesting add-on, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/backtesting
Code editor, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/code-editor
IMAP listener, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/imap-listener
Tradingview add-on, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/tradingview-alerts
Tradingview webhooks, https://wiki.gunthy.org/how-to-work-with-gunbot/extra-modules/tradingview-webhooks
2FA, https://wiki.gunthy.org/setup-and-general-settings/global-settings/2FA
Connect exchange, https://wiki.gunthy.org/setup-and-general-settings/global-settings/connect-exchange
Edit license, https://wiki.gunthy.org/setup-and-general-settings/global-settings/edit-license
Export settings, https://wiki.gunthy.org/setup-and-general-settings/global-settings/export-settings
Import settings, https://wiki.gunthy.org/setup-and-general-settings/global-settings/import-settings
Simulator, https://wiki.gunthy.org/setup-and-general-settings/global-settings/simulator
Telegram notifications, https://wiki.gunthy.org/setup-and-general-settings/global-settings/telegram-notifications
Tournament, https://wiki.gunthy.org/setup-and-general-settings/global-settings/tournament
Various settings, https://wiki.gunthy.org/setup-and-general-settings/global-settings/various-settings
Balance settings, https://wiki.gunthy.org/trading-strategy-options/balance-settings
Confirming indicators, https://wiki.gunthy.org/trading-strategy-options/confirming-indicators
Custom strategies, https://wiki.gunthy.org/trading-strategy-options/custom-strategies
Dollar Cost Avg (DCA), https://wiki.gunthy.org/trading-strategy-options/dca
adx, https://wiki.gunthy.org/trading-strategy-options/futures/adx
atrts, https://wiki.gunthy.org/trading-strategy-options/futures/atrts
bb, https://wiki.gunthy.org/trading-strategy-options/futures/bb
bbta, https://wiki.gunthy.org/trading-strategy-options/futures/bbta
emaspread, https://wiki.gunthy.org/trading-strategy-options/futures/emaspread
futuresgrid, https://wiki.gunthy.org/trading-strategy-options/futures/futuresgrid
gain, https://wiki.gunthy.org/trading-strategy-options/futures/gain
ichimoku, https://wiki.gunthy.org/trading-strategy-options/futures/ichimoku
macd, https://wiki.gunthy.org/trading-strategy-options/futures/macd
macdh, https://wiki.gunthy.org/trading-strategy-options/futures/macdh
pp, https://wiki.gunthy.org/trading-strategy-options/futures/pp
